Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
FORESTAR SA,R5603959,Tarcau,5,2026.07,Operatori mici
EXPO SIMITRANS SRL,R30577222,Moisei,5,2026.07,Operatori mici
PINU IMPORT EXPORT SRL,R5098342,Cristian,5,2026.07,Operatori mici
VIOTAL INTER SRL,R30774259,"PAREPA-RUSANI,COLCEAG",5,2026.07,Operatori mici
FINU TRANS SRL,R21407261,Mihai Viteazu,7,2026.07,Operatori mici
OVIDAS TRANS SRL,R15299319,Milisauti,7,2026.07,Operatori mici
GAMAR CONSTRUCT SRL,R19201382,Suceava,8,2026.07,Operatori mici
VALIMAR SRL,R3502125,Ciolt,8,2026.07,Operatori mici
ERGHANDI TRANS SRL,R11118533,Novaci,8,2026.07,Operatori mici
JANDAN TRANS S.R.L,R24871699,Targu Mures,9,2026.07,Operatori mici
ANDRONIC TRANSPORT COMPANY SRL,R35832806,Iasi,9,2026.07,Operatori mici
LA OLI SRL,R13831028,Ciolpani,6,2026.07,Operatori mici
FIVE HOLDING S.A.,R10562600,Constanta,6,2026.07,Operatori mici
LUCAROM IMPEX SRL,R6799137,Cluj Napoca,6,2026.07,Operatori mici
BOGDAN RAZVAN SRL,R3287213,Timisoara,6,2026.07,Operatori mici
SORI-LAV CIP SRL,R35374067,Veresti,6,2026.07,Operatori mici
TRANS-CONSTRUCT SRL,R12022070,Birlad,7,2026.07,Operatori mici
SENTOSA IMPEX SRL,R13219631,Hida,8,2026.07,Operatori mici
LEVIS COM SRL,R8735954,Sarmasag,8,2026.07,Operatori mici
TRANSKOV SERV SRL,R13941926,Cluj Napoca,8,2026.07,Operatori mici
DANIELE TRADING COM,R7974503,Pitesti,8,2026.07,Operatori mici
MOLNOS TRANSPORT,R24791000,Corund,11,2026.07,Operatori medii 1
FLOREA-ZANFIR TRANS SRL,R37436662,Corbii Mari,7,2026.07,Operatori mici
DACPETROL,R8070680,Husi,7,2026.07,Operatori mici
MORFI DEAL FOODS SRL,R33120550,Timisoara,8,2026.07,Operatori mici
